CompanyID,CompanyName,Location,ContactEmail,IndustryType,Website,HRContact
40,Crane-Rodriguez,Tonyafurt,brenda42@johnson.org,Healthcare,https://green.org/,Robert Bowen
41,"Combs, Wilson and Shields",Copelandstad,valerieoliver@romero.com,Healthcare,http://bradford.net/,Christopher Valencia
42,"Wallace, Martinez and Fuller",Lake Maryburgh,patriciaali@robinson-briggs.com,Finance,https://mcbride.biz/,Dakota Brown
43,Kent-Gonzalez,South Patriciachester,allen70@humphrey-young.com,Finance,https://www.campbell.org/,Daniel Meadows
44,James-Solomon,Krystalhaven,ajones@garcia.com,Healthcare,https://www.steele.com/,Gabriela Baker
45,"Roberts, Vasquez and Sawyer",South Alexandra,debbiebest@rodriguez.info,Technology,https://love-foster.com/,James King
46,"Vasquez, Wood and Johnson",Mollystad,raymondpatterson@elliott-williams.com,Technology,https://mclaughlin.com/,Anthony Edwards
47,Herrera LLC,Kaylashire,alex86@baird.com,Marketing,https://www.ruiz-ramirez.com/,Bruce Stewart
48,"Nichols, Smith and Warren",Griffinview,rachelpeck@guzman-quinn.com,Technology,https://odonnell.com/,Andrea Lawrence
49,"Pruitt, Booth and Johnson",Reevesland,jeromegriffith@banks.org,Healthcare,https://www.velez.com/,Brooke Patterson
50,Holmes-Johnson,Joseland,adriana31@duncan.com,Healthcare,http://gates.com/,Laura Knight
51,Long-Peterson,West Laurie,lowemaria@fisher.info,Education,http://www.compton.com/,Jennifer Richmond
52,"Collins, Williams and Spencer",Heathport,pam94@wood.info,Healthcare,http://wyatt.biz/,Kyle Marsh
53,Baker-Martinez,Greenfort,briggsstephen@mullins.com,Technology,http://hall.com/,Michael Rhodes
54,Carpenter LLC,East Sarah,fedwards@wilson-bowers.com,Engineering,https://cummings.com/,Pamela Hall
55,Hernandez-Stewart,Lake Troymouth,hmathews@daniel.com,Marketing,http://www.allen-white.com/,Jodi Barber
56,Meyers LLC,Priceview,russellnatalie@sampson.com,Education,https://www.smith-vang.net/,Joanna Harris
57,Barnes PLC,Gordonton,patriciaespinoza@prince-baker.com,Technology,https://www.martinez-smith.org/,Michael Jones
58,Conner Inc,Daltonburgh,michellealvarado@barton.com,Marketing,https://www.perez.com/,Cheryl Ortiz
59,Aguilar and Sons,Christophertown,johnlawson@sparks.info,Technology,http://scott.biz/,Jonathan Johnson DVM
60,Holland-Stewart,South Jeffreymouth,brendasimon@davis-coleman.com,Education,http://davis.info/,Pamela Roberson
61,Roman-Graham,Moorehaven,gobrien@bradley.biz,Healthcare,http://bailey.com/,Daniel Larsen
62,"Cortez, Wagner and Allen",Colemanburgh,lopezkara@munoz-jones.biz,Engineering,http://parsons.net/,Danielle Myers
63,"Jones, Yoder and Huang",Tuckermouth,xhernandez@williams-harper.com,Education,https://www.khan-sosa.net/,Robert Cox
64,Lopez-Thompson,Vincentport,mwalker@gibson-peterson.com,Healthcare,http://www.shepherd.com/,Melissa Clark
65,Young-Mooney,Reedmouth,kchase@snyder.com,Education,http://www.lindsey-brown.net/,Michael Klein
66,"Hanna, Harmon and Aguilar",Morganville,brandonshelton@price.com,Finance,https://brock.com/,Amy Bell
67,Riley-Bell,Nathanburgh,jenkinsvictoria@calderon-johnson.com,Engineering,http://rodriguez.com/,William Gill
68,Hawkins-Mitchell,Port Jennifer,nelsontimothy@nguyen-chavez.com,Technology,http://thomas-ferrell.com/,Terry Beck
69,Porter-Horne,Levyport,newmanrussell@smith.com,Technology,https://mendoza.com/,Mark Castro
70,Lucero LLC,Tabithashire,tmiller@jones.com,Engineering,https://martin.com/,Carla Coleman
71,"Miller, Pacheco and Lindsey",West Janet,murphyashley@allen.org,Finance,https://www.arnold.info/,Ana Fritz
72,"Smith, Obrien and Hayes",South Victoria,moraangel@davidson-bell.biz,Healthcare,http://www.hammond-kidd.net/,Mrs. Shannon Oconnor
73,Mccarthy Ltd,New Michele,beckerchristopher@aguirre.com,Technology,http://davis.info/,Clifford Lee
74,Gray PLC,South Albertfort,jmcmahon@morris.com,Finance,http://www.goodwin-snyder.com/,Angel Nguyen
75,Bautista-Murray,Michelleborough,mcopeland@wilson.info,Technology,http://miller.org/,Shawn Williams
76,Perry PLC,Brandyfort,karinarodriguez@deleon-lewis.com,Marketing,http://nelson.com/,Phillip Bullock
77,Morales and Sons,West David,jonathanboyle@smith.biz,Healthcare,http://www.chang-mullins.com/,Robert Freeman
78,Crane and Sons,Barnesport,alexandra55@harrington.com,Marketing,http://sosa-wilson.com/,Jennifer Lopez
79,Rasmussen-Brown,North Frank,beckymiller@calderon-conner.info,Engineering,https://brown-barker.com/,Daniel Moore
80,Nolan PLC,Randybury,lawrencevalerie@tate.com,Healthcare,http://murphy.com/,Laura Peterson
81,"Roberts, Morales and Ryan",Wardport,larsonthomas@levine-odonnell.com,Finance,http://ramirez.biz/,Ashley Smith
82,Ball-Sharp,Alyssastad,rclark@shaw.org,Healthcare,https://hensley-patel.info/,Shelly Gates
83,"Butler, Smith and Gomez",Houstonport,qjohnson@navarro-james.net,Healthcare,http://www.brown.info/,Thomas Arias
84,Powers Group,Lake Denise,daniel65@ortiz.com,Finance,http://brooks-briggs.com/,Melissa Garcia
85,Lopez-Harris,North Pamelaborough,robingonzalez@cannon-kelly.net,Engineering,http://pena.net/,Julia Davis
86,"Ayers, Roth and White",Robertshire,samuelpatterson@butler.com,Healthcare,https://www.johnson.biz/,Kathleen Gilbert
87,Page Group,East Jasonview,lori70@page.com,Engineering,https://wright.biz/,Christina Wilson DDS
88,Barnes LLC,East Catherine,perryjacqueline@perez.biz,Engineering,http://beltran.org/,Melissa Johnson
89,Hunt Ltd,Suzannehaven,zdaniel@chen.biz,Engineering,http://bell-glover.com/,Meghan Davis
90,Greene-Lopez,South Christopher,michaelbrown@murray.org,Technology,https://www.douglas-williams.com/,Russell Neal
91,Holland-King,East Williamshire,jacobsonnancy@white-chen.org,Education,http://rios.biz/,Nicole Cohen
92,Graves Inc,East Connorstad,stephanie07@williams.biz,Engineering,http://www.walker.com/,David Fischer
93,Fleming PLC,New Thomas,brent43@meyer.info,Finance,https://www.dunlap.com/,Madeline Horton
94,"Lopez, Carlson and White",New Jasonmouth,kari40@matthews.com,Education,https://collins.com/,Stephen Jones
95,"Williams, Pham and Norman",West Kimberly,clarkjulia@flores-kim.com,Engineering,http://www.bowers.com/,Kellie Brady
96,"Barber, Benitez and Robertson",West Joseph,uunderwood@lopez.net,Finance,http://shepherd.com/,Joseph Delgado
97,Fuller-Craig,Aliciachester,conniewhite@wheeler-french.com,Finance,http://ferguson.com/,William Wilson
98,Williams Inc,Robinsonmouth,blackgreg@friedman.org,Marketing,https://robertson.com/,Lisa Brown
99,Baker-Knight,Rhondafurt,stephenowens@spencer.biz,Marketing,https://www.williams-velasquez.net/,Michelle Stout
100,"Wright, Hill and Bishop",Ronaldchester,ashleywatts@flores.biz,Healthcare,http://jordan-martinez.net/,Michelle Rivera
